2025-01-01T00:00:00Z | ast-analyzer | created | documentation/ast-java-bookingmanagement.json | Full AST JSON for Java bookingmanagement domain (BookingEntity, InvitedGuestEntity, TableEntity, BookingRepository, BookingmanagementImpl, BookingmanagementRestServiceImpl)
2025-01-01T00:00:01Z | ast-analyzer | created | documentation/ast-java-domains.json | Full AST JSON for Java ordermanagement, dishmanagement, and usermanagement domains (OrderEntity, OrderLineEntity, DishEntity, CategoryEntity, IngredientEntity, UserEntity)
2025-01-01T00:00:02Z | ast-analyzer | created | documentation/ast-angular.json | Full AST JSON for Angular frontend (AppModule, AppRoutingModule, BookTableModule, BookTableComponent, BookTableService, MenuModule, MenuService, WaiterCockpitModule, ReservationCockpitComponent, WaiterCockpitService, shared interfaces)
2025-01-01T00:00:03Z | ast-analyzer | created | documentation/ast-nodejs.json | Full AST JSON for NestJS Node.js backend (AppModule, BookingModule, Booking entity, InvitedGuest entity, BookingController, BookingService, OrderModule, Order entity, OrderLine entity, Dish entity)
2025-01-01T00:00:04Z | ast-analyzer | created | documentation/ast-analysis-report.md | Comprehensive AST analysis Markdown report with 8 Mermaid diagrams covering entity models, layer architecture, logic flow, Angular component tree, route map, NestJS module graph, cross-system dependency, design patterns catalogue, and method signatures reference
2025-01-01T00:01:00Z | bpmn-generator | created | documentation/bpmn-overview.md | Master BPMN overview — process inventory, end-to-end customer journey, token system, data flow, and role matrix across all 8 processes
2025-01-01T00:01:01Z | bpmn-generator | created | documentation/bpmn-01-table-booking-process.md | PROC-001 Table Booking Process — full swimlane diagram with token generation detail, table availability check, and exception catalogue
2025-01-01T00:01:02Z | bpmn-generator | created | documentation/bpmn-02-guest-invitation-process.md | PROC-002 Guest Invitation Response Process — accept/decline BPMN with state diagram, email notification matrix
2025-01-01T00:01:03Z | bpmn-generator | created | documentation/bpmn-03-order-placement-process.md | PROC-003 Order Placement Process — token validation decision tree, price calculation flow, 6 exception paths
2025-01-01T00:01:04Z | bpmn-generator | created | documentation/bpmn-04-order-cancellation-process.md | PROC-004 Order Cancellation Process — time window validation, cascade delete sequence, Gantt timeline
2025-01-01T00:01:05Z | bpmn-generator | created | documentation/bpmn-05-booking-cancellation-process.md | PROC-005 Booking Cancellation Process — cascade delete diagram, Java vs Node.js implementation comparison
2025-01-01T00:01:06Z | bpmn-generator | created | documentation/bpmn-06-user-auth-process.md | PROC-006 User Registration and Authentication — BCrypt hashing flow, JWT auth guard, RBAC diagram
2025-01-01T00:01:07Z | bpmn-generator | created | documentation/bpmn-07-waiter-cockpit-process.md | PROC-007 Waiter Cockpit Process — role-gated access, booking search criteria, paginated order view
2025-01-01T00:01:08Z | bpmn-generator | created | documentation/bpmn-08-menu-management-process.md | PROC-008 Menu Management Process — full CRUD BPMN, menu hierarchy diagram, access control matrix
2025-01-01T00:01:09Z | bpmn-generator | created | documentation/bpmn-metadata.json | JSON metadata catalogue for all 8 BPMN processes including business rules, participants, element counts, and global rules
2025-01-30T00:00:00Z | code-assessor | created | documentation/code-assessor-quality-metrics.json | Machine-readable JSON quality metrics: 21 issues across 16 files, 6 enhancements, 9 technical debt items, stack scores for Java/Angular/Node.js
2025-01-30T00:00:01Z | code-assessor | created | documentation/code-assessor-report.md | Comprehensive code quality assessment Markdown report with Mermaid diagrams, severity-rated issues, cross-stack consistency analysis, security findings, technical debt register, and sprint-based remediation plan
